Source,Target
hCoV-19/Canada/ON-UHTC_0080/2020|EPI_ISL_464040|2020-04-10,hCoV-19/Canada/ON-UHTC_0082/2020|EPI_ISL_463998|2020-04-15
hCoV-19/Canada/ON-UHTC_0067/2020|EPI_ISL_463997|2020-04-10,hCoV-19/Canada/ON-UHTC_0056/2020|EPI_ISL_464059|2020-04-10
hCoV-19/Canada/ON-UHTC_0039/2020|EPI_ISL_464026|2020-04-10,hCoV-19/Canada/ON-UHTC_0067/2020|EPI_ISL_463997|2020-04-10
978,hCoV-19/Canada/ON_MU-S679/2020|EPI_ISL_463992|2020-04-09
991,hCoV-19/Canada/ON-OICR-SLB2858/2020|EPI_ISL_538377|2020-04-07
1035,hCoV-19/Canada/ON-UHTC_0062/2020|EPI_ISL_464048|2020-04-01
hCoV-19/Canada/ON-UHTC_0053/2020|EPI_ISL_464004|2020-04-07,hCoV-19/Canada/ON-UHTC_0058/2020|EPI_ISL_464024|2020-04-03
hCoV-19/Canada/ON-UHTC_0065/2020|EPI_ISL_464030|2020-04-22,hCoV-19/Canada/ON-UHTC_0045/2020|EPI_ISL_464061|2020-04-22
hCoV-19/Canada/ON-UHTC_0053/2020|EPI_ISL_464004|2020-04-07,hCoV-19/Canada/ON-UHTC_0065/2020|EPI_ISL_464030|2020-04-22
hCoV-19/Canada/ON-UHTC_0065/2020|EPI_ISL_464030|2020-04-22,hCoV-19/Canada/ON-UHTC_0088/2020|EPI_ISL_464054|2020-04-24
1027,hCoV-19/Canada/ON-UHTC_0053/2020|EPI_ISL_464004|2020-04-07
hCoV-19/Canada/ON-UHTC_0055/2020|EPI_ISL_464046|2020-04-02,hCoV-19/Canada/ON-UHTC_0038/2020|EPI_ISL_464018|2020-04-03
1026,hCoV-19/Canada/ON-UHTC_0055/2020|EPI_ISL_464046|2020-04-02
1027,hCoV-19/Canada/ON_MU-S349/2020|EPI_ISL_463982|2020-03-29
hCoV-19/Canada/ON-UHTC_0069/2020|EPI_ISL_464021|2020-04-25,hCoV-19/Canada/ON-UHTC_0066/2020|EPI_ISL_464038|2020-04-24
967,hCoV-19/Canada/ON-UHTC_0069/2020|EPI_ISL_464021|2020-04-25
1020,hCoV-19/Canada/QC-LSPQ-L00238445/2020|EPI_ISL_536208|2020-03-25
1020,hCoV-19/Canada/ON-UHTC_0151/2020|EPI_ISL_526284|2020-06-09
1266,hCoV-19/Canada/ON-UHTC_0041/2020|EPI_ISL_464037|2020-04-03
hCoV-19/Canada/ON-UHTC_0041/2020|EPI_ISL_464037|2020-04-03,hCoV-19/Canada/ON_QGLO-011/2020|EPI_ISL_459871|2020-03-26
1344,hCoV-19/Canada/QC-LSPQ-L00230882/2020|EPI_ISL_535937|2020-03-21
1449,hCoV-19/Canada/QC-LSPQ-L00231304/2020|EPI_ISL_535953|2020-03-20
1092,hCoV-19/Canada/QC-LSPQ-L00232439/2020|EPI_ISL_535986|2020-03-22
1279,hCoV-19/Canada/QC-LSPQ-L00216421/2020|EPI_ISL_535746|2020-03-13
hCoV-19/Canada/Qc-L00241158/2020|EPI_ISL_465699|2020-03-27,hCoV-19/Canada/QC_AR7/2020|EPI_ISL_515226|2020-04-04
hCoV-19/Canada/QC-LSPQ-L00227476/2020|EPI_ISL_535862|2020-03-18,hCoV-19/Canada/Qc-L00241158/2020|EPI_ISL_465699|2020-03-27
1348,hCoV-19/Canada/QC-LSPQ-L00225655/2020|EPI_ISL_535833|2020-03-17
1460,hCoV-19/Canada/QC-LSPQ-L00231158/2020|EPI_ISL_535946|2020-03-22
1170,hCoV-19/Canada/QC-LSPQ-L00234853/2020|EPI_ISL_536072|2020-03-24
1022,hCoV-19/Canada/QC-LSPQ-L00241959/2020|EPI_ISL_536299|2020-03-28
1022,hCoV-19/Canada/QC-LSPQ-L00241993/2020|EPI_ISL_536301|2020-03-28
1460,hCoV-19/Canada/QC-LSPQ-L00238675/2020|EPI_ISL_536213|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00243328/2020|EPI_ISL_536358|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243313/2020|EPI_ISL_536354|2020-03-30
1114,hCoV-19/Canada/QC-LSPQ-L00243328/2020|EPI_ISL_536358|2020-03-30
1114,hCoV-19/Canada/QC-LSPQ-L00243325/2020|EPI_ISL_536357|2020-03-30
1008,hCoV-19/Canada/QC-LSPQ-L00243345/2020|EPI_ISL_536359|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00243325/2020|EPI_ISL_536357|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243460/2020|EPI_ISL_536362|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00243323/2020|EPI_ISL_536356|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243317/2020|EPI_ISL_536355|2020-03-30
1153,hCoV-19/Canada/QC-LSPQ-L00243323/2020|EPI_ISL_536356|2020-03-30
1474,hCoV-19/Canada/QC-LSPQ-L00227476/2020|EPI_ISL_535862|2020-03-18
hCoV-19/Canada/QC-LSPQ-L00231860/2020|EPI_ISL_535965|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00225185/2020|EPI_ISL_535829|2020-03-16
hCoV-19/Canada/QC-LSPQ-L00231860/2020|EPI_ISL_535965|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00242576/2020|EPI_ISL_536328|2020-03-29
hCoV-19/Canada/QC-LSPQ-L00231860/2020|EPI_ISL_535965|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00242684/2020|EPI_ISL_536332|2020-03-29
1244,hCoV-19/Canada/QC-LSPQ-L00231860/2020|EPI_ISL_535965|2020-03-20
hCoV-19/Canada/MB_59/2020|EPI_ISL_482475|2020-03-15,hCoV-19/Canada/MB_58/2020|EPI_ISL_482474|2020-03-19
1287,hCoV-19/Canada/MB_59/2020|EPI_ISL_482475|2020-03-15
1378,hCoV-19/Canada/Qc-L00241112/2020|EPI_ISL_465697|2020-03-26
1417,hCoV-19/Canada/ON-OICR-SLB2806/2020|EPI_ISL_538336|2020-03-31
hCoV-19/Canada/ON-OICR-SLB2806/2020|EPI_ISL_538336|2020-03-31,hCoV-19/Canada/ON-UHTC_0037/2020|EPI_ISL_464028|2020-04-03
hCoV-19/Canada/ON-OICR-SLB2806/2020|EPI_ISL_538336|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00233496/2020|EPI_ISL_536025|2020-03-23
1309,hCoV-19/Canada/QC-LSPQ-L00224744/2020|EPI_ISL_535820|2020-03-17
1417,hCoV-19/Canada/QC-LSPQ-L00224745/2020|EPI_ISL_535821|2020-03-17
1470,hCoV-19/Canada/ON-OICR-SLB2812/2020|EPI_ISL_538340|2020-04-01
hCoV-19/Canada/QC-LSPQ-L00243118/2020|EPI_ISL_536349|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00234990/2020|EPI_ISL_536082|2020-03-24
hCoV-19/Canada/ON-OICR-SLB2812/2020|EPI_ISL_538340|2020-04-01,hCoV-19/Canada/QC-LSPQ-L00243118/2020|EPI_ISL_536349|2020-03-30
hCoV-19/Canada/ON-OICR-SLB2812/2020|EPI_ISL_538340|2020-04-01,hCoV-19/Canada/QC-LSPQ-L00216197/2020|EPI_ISL_535745|2020-03-12
1315,hCoV-19/Canada/QC-LSPQ-L00238518/2020|EPI_ISL_536209|2020-03-25
1470,hCoV-19/Canada/QC-LSPQ-L00238674/2020|EPI_ISL_536212|2020-03-26
hCoV-19/Canada/QC-LSPQ-L00238674/2020|EPI_ISL_536212|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00243245/2020|EPI_ISL_536351|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00218353/2020|EPI_ISL_535779|2020-03-14,hCoV-19/Canada/ON-OICR-SLB2854/2020|EPI_ISL_538373|2020-04-07
hCoV-19/Canada/ON_MU-S328/2020|EPI_ISL_463981|2020-03-29,hCoV-19/Canada/ON-UHTC_0051/2020|EPI_ISL_464063|2020-04-03
1048,hCoV-19/Canada/ON_MU-S328/2020|EPI_ISL_463981|2020-03-29
hCoV-19/Canada/ON-OICR-SLB2854/2020|EPI_ISL_538373|2020-04-07,hCoV-19/Canada/QC-LSPQ-L00235430/2020|EPI_ISL_536098|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00214634/2020|EPI_ISL_535730|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00218353/2020|EPI_ISL_535779|2020-03-14
1378,hCoV-19/Canada/QC-LSPQ-L00214634/2020|EPI_ISL_535730|2020-03-12
1378,hCoV-19/Canada/QC-LSPQ-L00216503/2020|EPI_ISL_535750|2020-03-12
1247,hCoV-19/Canada/NS_30/2020|EPI_ISL_429812|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00237589/2020|EPI_ISL_536187|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00229326/2020|EPI_ISL_535890|2020-03-20
1182,hCoV-19/Canada/QC-LSPQ-L00237589/2020|EPI_ISL_536187|2020-03-25
1154,hCoV-19/Canada/QC-LSPQ-L00242051/2020|EPI_ISL_536308|2020-03-28
1029,hCoV-19/Canada/QC-LSPQ-L00242105/2020|EPI_ISL_536309|2020-03-28
1247,hCoV-19/Canada/QC-LSPQ-L00218337/2020|EPI_ISL_535777|2020-03-14
1396,hCoV-19/Canada/QC-LSPQ-L00219089/2020|EPI_ISL_535790|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00220827/2020|EPI_ISL_535803|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00218371/2020|EPI_ISL_535780|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00218371/2020|EPI_ISL_535780|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00222448/2020|EPI_ISL_535816|2020-03-14
1281,hCoV-19/Canada/QC-LSPQ-L00220827/2020|EPI_ISL_535803|2020-03-14
1281,hCoV-19/Canada/QC-LSPQ-L00225484/2020|EPI_ISL_535830|2020-03-17
1438,hCoV-19/Canada/QC-LSPQ-L00226938/2020|EPI_ISL_535854|2020-03-17
hCoV-19/Canada/QC-LSPQ-L00233702/2020|EPI_ISL_536035|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00233281/2020|EPI_ISL_536014|2020-03-22
1178,hCoV-19/Canada/QC-LSPQ-L00233702/2020|EPI_ISL_536035|2020-03-23
1281,hCoV-19/Canada/QC-LSPQ-L00219340/2020|EPI_ISL_535792|2020-03-14
1185,hCoV-19/Canada/QC-LSPQ-L00231066/2020|EPI_ISL_535942|2020-03-21
1185,hCoV-19/Canada/QC-LSPQ-L00231068/2020|EPI_ISL_535943|2020-03-21
1296,hCoV-19/Canada/NB-219/2020|EPI_ISL_479635|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00231249/2020|EPI_ISL_535948|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00242228/2020|EPI_ISL_536312|2020-03-29
1427,hCoV-19/Canada/NL_101/2020|EPI_ISL_469240|2020-03-22
1427,hCoV-19/Canada/QC-LSPQ-L00236805/2020|EPI_ISL_536150|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00243079/2020|EPI_ISL_536348|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00230536/2020|EPI_ISL_535923|2020-03-21
1176,hCoV-19/Canada/QC-LSPQ-L00233333/2020|EPI_ISL_536017|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00233333/2020|EPI_ISL_536017|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00242858/2020|EPI_ISL_536336|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00243079/2020|EPI_ISL_536348|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243755/2020|EPI_ISL_536377|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00243079/2020|EPI_ISL_536348|2020-03-30,hCoV-19/Canada/Qc-L00240866/2020|EPI_ISL_465690|2020-03-27
1220,hCoV-19/Canada/QC-LSPQ-L00243079/2020|EPI_ISL_536348|2020-03-30
1423,hCoV-19/Canada/ON_MU-S51/2020|EPI_ISL_463989|2020-03-17
hCoV-19/Canada/QC-LSPQ-L00215628/2020|EPI_ISL_535734|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00231249/2020|EPI_ISL_535948|2020-03-22
1436,hCoV-19/Canada/QC-LSPQ-L00215628/2020|EPI_ISL_535734|2020-03-12
hCoV-19/Canada/QC-LSPQ-L00230881/2020|EPI_ISL_535936|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00213861/2020|EPI_ISL_535721|2020-03-10
hCoV-19/Canada/QC-LSPQ-L00230881/2020|EPI_ISL_535936|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00218011/2020|EPI_ISL_535769|2020-03-14
1355,hCoV-19/Canada/QC-LSPQ-L00230881/2020|EPI_ISL_535936|2020-03-21
1141,hCoV-19/Canada/NB-226/2020|EPI_ISL_479642|2020-03-23
1067,hCoV-19/Canada/NB-238/2020|EPI_ISL_479651|2020-03-25
hCoV-19/Canada/NB-226/2020|EPI_ISL_479642|2020-03-23,hCoV-19/Canada/NB-235/2020|EPI_ISL_479648|2020-03-31
1058,hCoV-19/Canada/NB-235/2020|EPI_ISL_479649|2020-03-31
1436,hCoV-19/Canada/QC-LSPQ-L00234460/2020|EPI_ISL_536055|2020-03-23
1394,hCoV-19/Canada/QC-LSPQ-L00242714/2020|EPI_ISL_536335|2020-03-29
1420,hCoV-19/Canada/QC-LSPQ-L00231456/2020|EPI_ISL_535956|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00233849/2020|EPI_ISL_536042|2020-03-23,hCoV-19/Canada/NB-225/2020|EPI_ISL_479641|2020-03-26
1149,hCoV-19/Canada/NS_42/2020|EPI_ISL_482470|2020-03-16
1149,hCoV-19/Canada/Qc-L00240804/2020|EPI_ISL_465687|2020-03-27
hCoV-19/Canada/Qc-L00240804/2020|EPI_ISL_465687|2020-03-27,hCoV-19/Canada/Qc-L00240893/2020|EPI_ISL_465692|2020-03-27
1383,hCoV-19/Canada/QC-LSPQ-L00229212/2020|EPI_ISL_535887|2020-03-20
1436,hCoV-19/Canada/QC-LSPQ-L00233849/2020|EPI_ISL_536042|2020-03-23
1097,hCoV-19/Canada/ON-OICR-SLB2800/2020|EPI_ISL_538332|2020-03-28
hCoV-19/Canada/QC-LSPQ-L00233340/2020|EPI_ISL_536018|2020-03-23,hCoV-19/Canada/ON-OICR-SLB2827/2020|EPI_ISL_538353|2020-04-02
1356,hCoV-19/Canada/QC-LSPQ-L00233340/2020|EPI_ISL_536018|2020-03-23
1337,hCoV-19/Canada/QC-LSPQ-L00218534/2020|EPI_ISL_535784|2020-03-14
1288,hCoV-19/Canada/QC-LSPQ-L00215713/2020|EPI_ISL_535736|2020-03-12
1288,hCoV-19/Canada/QC-LSPQ-L00222020/2020|EPI_ISL_535813|2020-03-16
hCoV-19/Canada/QC-LSPQ-L00222020/2020|EPI_ISL_535813|2020-03-16,hCoV-19/Canada/QC_AG8/2020|EPI_ISL_476503|2020-04-14
hCoV-19/Canada/QC-LSPQ-L00222020/2020|EPI_ISL_535813|2020-03-16,hCoV-19/Canada/QC-LSPQ-L00222035/2020|EPI_ISL_535815|2020-03-16
1301,hCoV-19/Canada/QC-LSPQ-L00218559/2020|EPI_ISL_535785|2020-03-14
1013,hCoV-19/Canada/ON-OICR-SLB2809/2020|EPI_ISL_538338|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00233493/2020|EPI_ISL_536024|2020-03-23,hCoV-19/Canada/Qc-L00241102/2020|EPI_ISL_465696|2020-03-27
1047,hCoV-19/Canada/QC-LSPQ-L00233493/2020|EPI_ISL_536024|2020-03-23
1047,hCoV-19/Canada/Qc-L00240666/2020|EPI_ISL_465682|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00236601/2020|EPI_ISL_536143|2020-03-24,hCoV-19/Canada/ON_QGLO-036/2020|EPI_ISL_459887|2020-03-30
hCoV-19/Canada/ON_QGLO-036/2020|EPI_ISL_459887|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00231946/2020|EPI_ISL_535966|2020-03-22
1148,hCoV-19/Canada/QC-LSPQ-L00231277/2020|EPI_ISL_535950|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00231277/2020|EPI_ISL_535950|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00239077/2020|EPI_ISL_536232|2020-03-26
1301,hCoV-19/Canada/QC-LSPQ-L00236601/2020|EPI_ISL_536143|2020-03-24
1093,hCoV-19/Canada/QC-LSPQ-L00240292/2020|EPI_ISL_536268|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00240292/2020|EPI_ISL_536268|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00242878/2020|EPI_ISL_536338|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00242878/2020|EPI_ISL_536338|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243710/2020|EPI_ISL_536373|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00242878/2020|EPI_ISL_536338|2020-03-30,hCoV-19/Canada/QC_AU8/2020|EPI_ISL_463947|2020-04-04
1210,hCoV-19/Canada/QC-LSPQ-L00233323/2020|EPI_ISL_536016|2020-03-22
1436,hCoV-19/Canada/QC-LSPQ-L00216532/2020|EPI_ISL_535751|2020-03-12
1052,hCoV-19/Canada/QC-LSPQ-L00233870/2020|EPI_ISL_536045|2020-03-23
1052,hCoV-19/Canada/QC-LSPQ-L00237340/2020|EPI_ISL_536174|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00243976/2020|EPI_ISL_536385|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00240404/2020|EPI_ISL_536269|2020-03-27
1436,hCoV-19/Canada/QC-LSPQ-L00243976/2020|EPI_ISL_536385|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00215858/2020|EPI_ISL_535740|2020-03-12,hCoV-19/Canada/BC_5522039/2020|EPI_ISL_418834|2020-03-11
hCoV-19/Canada/QC-LSPQ-L00215858/2020|EPI_ISL_535740|2020-03-12,hCoV-19/Canada/BC_6489864/2020|EPI_ISL_418839|2020-03-10
hCoV-19/Canada/BC_8486790/2020|EPI_ISL_418849|2020-03-13,hCoV-19/Canada/BC_6997898/2020|EPI_ISL_418842|2020-03-11
hCoV-19/Canada/BC_8486790/2020|EPI_ISL_418849|2020-03-13,hCoV-19/Canada/BC_7553799/2020|EPI_ISL_418846|2020-03-12
hCoV-19/Canada/QC-LSPQ-L00215858/2020|EPI_ISL_535740|2020-03-12,hCoV-19/Canada/BC_8486790/2020|EPI_ISL_418849|2020-03-13
1390,hCoV-19/Canada/BC_9345715/2020|EPI_ISL_418857|2020-03-13
hCoV-19/Canada/QC-LSPQ-L00215858/2020|EPI_ISL_535740|2020-03-12,hCoV-19/Canada/BC_9345042/2020|EPI_ISL_418856|2020-03-13
1134,hCoV-19/Canada/MB_75/2020|EPI_ISL_482480|2020-03-23
1134,hCoV-19/Canada/QC-LSPQ-L00233380/2020|EPI_ISL_536021|2020-03-23
1134,hCoV-19/Canada/QC-LSPQ-L00230319/2020|EPI_ISL_535915|2020-03-21
1256,hCoV-19/Canada/QC-LSPQ-L00230189/2020|EPI_ISL_535912|2020-03-21
hCoV-19/Canada/BC_9345042/2020|EPI_ISL_418856|2020-03-13,hCoV-19/Canada/MB_76/2020|EPI_ISL_482481|2020-03-16
1451,hCoV-19/Canada/QC-LSPQ-L00215858/2020|EPI_ISL_535740|2020-03-12
1402,hCoV-19/Canada/LTRI-18/2020|EPI_ISL_494970|2020-03-20
1151,hCoV-19/Canada/NB-214/2020|EPI_ISL_479630|2020-03-27
1151,hCoV-19/Canada/NB-215/2020|EPI_ISL_479631|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00227663/2020|EPI_ISL_535866|2020-03-19,hCoV-19/Canada/NB_243/2020|EPI_ISL_481742|2020-03-23
1216,hCoV-19/Canada/QC-LSPQ-L00229794/2020|EPI_ISL_535903|2020-03-20
hCoV-19/Canada/QC-LSPQ-L00229796/2020|EPI_ISL_535904|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00227663/2020|EPI_ISL_535866|2020-03-19
1325,hCoV-19/Canada/QC-LSPQ-L00229796/2020|EPI_ISL_535904|2020-03-20
1137,hCoV-19/Canada/QC-LSPQ-L00239192/2020|EPI_ISL_536236|2020-03-26
hCoV-19/Canada/QC-LSPQ-L00229796/2020|EPI_ISL_535904|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00220733/2020|EPI_ISL_535801|2020-03-15
1425,hCoV-19/Canada/QC-LSPQ-L00225808/2020|EPI_ISL_535838|2020-03-16
1425,hCoV-19/Canada/QC-LSPQ-L00215022/2020|EPI_ISL_535731|2020-03-12
1015,hCoV-19/Canada/ON-UHTC_0076/2020|EPI_ISL_464019|2020-04-13
1059,hCoV-19/Canada/ON_MU-S312/2020|EPI_ISL_463980|2020-03-29
hCoV-19/Canada/ON_MU-S40/2020|EPI_ISL_463984|2020-03-17,hCoV-19/Canada/ON_MU-S26/2020|EPI_ISL_463975|2020-03-16
hCoV-19/Canada/ON_MU-S40/2020|EPI_ISL_463984|2020-03-17,hCoV-19/Canada/ON_MU-S53/2020|EPI_ISL_463990|2020-03-18
1412,hCoV-19/Canada/ON_MU-S40/2020|EPI_ISL_463984|2020-03-17
1440,hCoV-19/Canada/QC-LSPQ-L00220634/2020|EPI_ISL_535800|2020-03-15
hCoV-19/Canada/QC-LSPQ-L00232822/2020|EPI_ISL_535998|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00220736/2020|EPI_ISL_535802|2020-03-15
1412,hCoV-19/Canada/QC-LSPQ-L00232822/2020|EPI_ISL_535998|2020-03-22
1316,hCoV-19/Canada/MB_78/2020|EPI_ISL_482482|2020-03-16
hCoV-19/Canada/MB_78/2020|EPI_ISL_482482|2020-03-16,hCoV-19/Canada/QC-LSPQ-L00234611/2020|EPI_ISL_536062|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00242011/2020|EPI_ISL_536302|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00240479/2020|EPI_ISL_536272|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00240479/2020|EPI_ISL_536272|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00242019/2020|EPI_ISL_536304|2020-03-28
hCoV-19/Canada/QC-LSPQ-L00234611/2020|EPI_ISL_536062|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00242011/2020|EPI_ISL_536302|2020-03-28
1316,hCoV-19/Canada/ON-QGLO-019/2020|EPI_ISL_459877|2020-03-27
1233,hCoV-19/Canada/Qc-L00240947/2020|EPI_ISL_465693|2020-03-27
hCoV-19/Canada/Qc-L00240947/2020|EPI_ISL_465693|2020-03-27,hCoV-19/Canada/Qc-L00240954/2020|EPI_ISL_450307|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00236779/2020|EPI_ISL_536147|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00227996/2020|EPI_ISL_535869|2020-03-19
1234,hCoV-19/Canada/QC-LSPQ-L00236779/2020|EPI_ISL_536147|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00236779/2020|EPI_ISL_536147|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237365/2020|EPI_ISL_536176|2020-03-25
1016,hCoV-19/Canada/QC-LSPQ-L00243708/2020|EPI_ISL_536372|2020-03-31
1102,hCoV-19/Canada/QC-LSPQ-L00237374/2020|EPI_ISL_536179|2020-03-25
1102,hCoV-19/Canada/QC-LSPQ-L00241909/2020|EPI_ISL_536295|2020-03-28
1050,hCoV-19/Canada/QC-LSPQ-L00239413/2020|EPI_ISL_536252|2020-03-24
1002,hCoV-19/Canada/QC-LSPQ-L00244354/2020|EPI_ISL_536395|2020-03-31
977,hCoV-19/Canada/QC_AF6/2020|EPI_ISL_463912|2020-04-06
1002,hCoV-19/Canada/QC_BA5/2020|EPI_ISL_463962|2020-04-07
1386,hCoV-19/Canada/ON-OICR-SLB2797/2020|EPI_ISL_538329|2020-03-28
hCoV-19/Canada/ON-OICR-SLB2797/2020|EPI_ISL_538329|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00232310/2020|EPI_ISL_535984|2020-03-22
hCoV-19/Canada/ON_QGLO-010/2020|EPI_ISL_459869|2020-03-26,hCoV-19/Canada/ON_MU-S13/2020|EPI_ISL_463971|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00236394/2020|EPI_ISL_536126|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00233734/2020|EPI_ISL_536038|2020-03-23
hCoV-19/Canada/ON_MU-S13/2020|EPI_ISL_463971|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00236394/2020|EPI_ISL_536126|2020-03-24
1387,hCoV-19/Canada/ON_QGLO-010/2020|EPI_ISL_459869|2020-03-26
hCoV-19/Canada/ON_QGLO-010/2020|EPI_ISL_459869|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00231230/2020|EPI_ISL_535947|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00232447/2020|EPI_ISL_535987|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00226858/2020|EPI_ISL_535851|2020-03-18
1121,hCoV-19/Canada/Qc-L00240979/2020|EPI_ISL_450308|2020-03-27
1139,hCoV-19/Canada/QC-LSPQ-L00232405/2020|EPI_ISL_535985|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00232447/2020|EPI_ISL_535987|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00233661/2020|EPI_ISL_536031|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00232447/2020|EPI_ISL_535987|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00236526/2020|EPI_ISL_536132|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00236526/2020|EPI_ISL_536132|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00237217/2020|EPI_ISL_536168|2020-03-25
1282,hCoV-19/Canada/QC-LSPQ-L00232447/2020|EPI_ISL_535987|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00237242/2020|EPI_ISL_536169|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00233695/2020|EPI_ISL_536034|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00232447/2020|EPI_ISL_535987|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00237242/2020|EPI_ISL_536169|2020-03-25
1117,hCoV-19/Canada/Qc-L00241214/2020|EPI_ISL_465700|2020-03-23
hCoV-19/Canada/Qc-L00241214/2020|EPI_ISL_465700|2020-03-23,hCoV-19/Canada/Qc-L00241245/2020|EPI_ISL_450315|2020-03-27
1246,hCoV-19/Canada/QC-LSPQ-L00241670/2020|EPI_ISL_536288|2020-03-26
1189,hCoV-19/Canada/NB-228/2020|EPI_ISL_479643|2020-03-30
hCoV-19/Canada/NB-228/2020|EPI_ISL_479643|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00235561/2020|EPI_ISL_536101|2020-03-24
1189,hCoV-19/Canada/QC-LSPQ-L00225045/2020|EPI_ISL_535828|2020-03-17
hCoV-19/Canada/QC-LSPQ-L00232004/2020|EPI_ISL_535969|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230948/2020|EPI_ISL_535940|2020-03-21
hCoV-19/Canada/QC-LSPQ-L00233253/2020|EPI_ISL_536013|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00232004/2020|EPI_ISL_535969|2020-03-21
1224,hCoV-19/Canada/QC-LSPQ-L00233253/2020|EPI_ISL_536013|2020-03-23
1246,hCoV-19/Canada/QC-LSPQ-L00215812/2020|EPI_ISL_535738|2020-03-12
hCoV-19/Canada/QC-LSPQ-L00215812/2020|EPI_ISL_535738|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00230473/2020|EPI_ISL_535920|2020-03-21
