Id,Label,Region
1171,1171,Unsampled
hCoV-19/Canada/QC-LSPQ-L00237465/2020|EPI_ISL_536181|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237465/2020|EPI_ISL_536181|2020-03-25,QC
1072,1072,Unsampled
hCoV-19/Canada/ON-OICR-SLB2792/2020|EPI_ISL_538326|2020-03-26,hCoV-19/Canada/ON-OICR-SLB2792/2020|EPI_ISL_538326|2020-03-26,ON
1421,1421,Unsampled
hCoV-19/Canada/QC-LSPQ-L00239298/2020|EPI_ISL_536244|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00239298/2020|EPI_ISL_536244|2020-03-26,QC
1345,1345,Unsampled
hCoV-19/Canada/ON-OICR-SLB2813/2020|EPI_ISL_538341|2020-04-01,hCoV-19/Canada/ON-OICR-SLB2813/2020|EPI_ISL_538341|2020-04-01,ON
1018,1018,Unsampled
hCoV-19/Canada/ON-UHTC_0052/2020|EPI_ISL_464056|2020-04-02,hCoV-19/Canada/ON-UHTC_0052/2020|EPI_ISL_464056|2020-04-02,ON
hCoV-19/Canada/ON-UHTC_0071/2020|EPI_ISL_463996|2020-04-23,hCoV-19/Canada/ON-UHTC_0071/2020|EPI_ISL_463996|2020-04-23,ON
1444,1444,Unsampled
hCoV-19/Canada/ON-OICR-SLB2822/2020|EPI_ISL_538350|2020-04-02,hCoV-19/Canada/ON-OICR-SLB2822/2020|EPI_ISL_538350|2020-04-02,ON
1091,1091,Unsampled
hCoV-19/Canada/NL_100/2020|EPI_ISL_469239|2020-03-22,hCoV-19/Canada/NL_100/2020|EPI_ISL_469239|2020-03-22,NL
hCoV-19/Canada/NL_85/2020|EPI_ISL_469227|2020-03-21,hCoV-19/Canada/NL_85/2020|EPI_ISL_469227|2020-03-21,NL
hCoV-19/Canada/NL_96/2020|EPI_ISL_469235|2020-03-22,hCoV-19/Canada/NL_96/2020|EPI_ISL_469235|2020-03-22,NL
1180,1180,Unsampled
hCoV-19/Canada/NL_87/2020|EPI_ISL_469229|2020-03-20,hCoV-19/Canada/NL_87/2020|EPI_ISL_469229|2020-03-20,NL
hCoV-19/Canada/NL_90/2020|EPI_ISL_469232|2020-03-21,hCoV-19/Canada/NL_90/2020|EPI_ISL_469232|2020-03-21,NL
1175,1175,Unsampled
hCoV-19/Canada/NL_84/2020|EPI_ISL_469226|2020-03-22,hCoV-19/Canada/NL_84/2020|EPI_ISL_469226|2020-03-22,NL
1163,1163,Unsampled
hCoV-19/Canada/NL_88/2020|EPI_ISL_469230|2020-03-21,hCoV-19/Canada/NL_88/2020|EPI_ISL_469230|2020-03-21,NL
1160,1160,Unsampled
hCoV-19/Canada/NL_93/2020|EPI_ISL_469233|2020-03-22,hCoV-19/Canada/NL_93/2020|EPI_ISL_469233|2020-03-22,NL
hCoV-19/Canada/NL_86/2020|EPI_ISL_469228|2020-03-22,hCoV-19/Canada/NL_86/2020|EPI_ISL_469228|2020-03-22,NL
1155,1155,Unsampled
hCoV-19/Canada/NL_89/2020|EPI_ISL_469231|2020-03-21,hCoV-19/Canada/NL_89/2020|EPI_ISL_469231|2020-03-21,NL
1181,1181,Unsampled
hCoV-19/Canada/NL_99/2020|EPI_ISL_469238|2020-03-22,hCoV-19/Canada/NL_99/2020|EPI_ISL_469238|2020-03-22,NL
hCoV-19/Canada/NS_40/2020|EPI_ISL_482469|2020-03-05,hCoV-19/Canada/NS_40/2020|EPI_ISL_482469|2020-03-05,NS
1030,1030,Unsampled
hCoV-19/Canada/NB_249/2020|EPI_ISL_481747|2020-03-30,hCoV-19/Canada/NB_249/2020|EPI_ISL_481747|2020-03-30,NB
1462,1462,Unsampled
hCoV-19/Canada/QC-LSPQ-L00243024/2020|EPI_ISL_536344|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243024/2020|EPI_ISL_536344|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00236595/2020|EPI_ISL_536141|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00236595/2020|EPI_ISL_536141|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00232813/2020|EPI_ISL_535997|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00232813/2020|EPI_ISL_535997|2020-03-22,QC
hCoV-19/Canada/ON-OICR-SLB2802/2020|EPI_ISL_538333|2020-03-30,hCoV-19/Canada/ON-OICR-SLB2802/2020|EPI_ISL_538333|2020-03-30,ON
hCoV-19/Canada/ON-OICR-SLB2838/2020|EPI_ISL_538361|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2838/2020|EPI_ISL_538361|2020-04-03,ON
hCoV-19/Canada/QC-LSPQ-L00235132/2020|EPI_ISL_536087|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00235132/2020|EPI_ISL_536087|2020-03-24,QC
hCoV-19/Canada/NL_98/2020|EPI_ISL_469237|2020-03-22,hCoV-19/Canada/NL_98/2020|EPI_ISL_469237|2020-03-22,NL
hCoV-19/Canada/QC-LSPQ-L00230506/2020|EPI_ISL_535922|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230506/2020|EPI_ISL_535922|2020-03-21,QC
1428,1428,Unsampled
hCoV-19/Canada/ON-OICR-SLB2789/2020|EPI_ISL_538323|2020-03-25,hCoV-19/Canada/ON-OICR-SLB2789/2020|EPI_ISL_538323|2020-03-25,ON
hCoV-19/Canada/ON_QGLO-035/2020|EPI_ISL_459886|2020-03-30,hCoV-19/Canada/ON_QGLO-035/2020|EPI_ISL_459886|2020-03-30,ON
hCoV-19/Canada/QC-LSPQ-L00230472/2020|EPI_ISL_535919|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230472/2020|EPI_ISL_535919|2020-03-21,QC
hCoV-19/Canada/QC-LSPQ-L00228964/2020|EPI_ISL_535883|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00228964/2020|EPI_ISL_535883|2020-03-20,QC
1450,1450,Unsampled
hCoV-19/Canada/QC-LSPQ-L00218334/2020|EPI_ISL_535776|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00218334/2020|EPI_ISL_535776|2020-03-14,QC
hCoV-19/Canada/QC-LSPQ-L00224793/2020|EPI_ISL_535822|2020-03-17,hCoV-19/Canada/QC-LSPQ-L00224793/2020|EPI_ISL_535822|2020-03-17,QC
hCoV-19/Canada/QC-LSPQ-L00216909/2020|EPI_ISL_535753|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00216909/2020|EPI_ISL_535753|2020-03-13,QC
hCoV-19/Canada/ON-OICR-SLB2799/2020|EPI_ISL_538331|2020-03-28,hCoV-19/Canada/ON-OICR-SLB2799/2020|EPI_ISL_538331|2020-03-28,ON
1079,1079,Unsampled
hCoV-19/Canada/QC-LSPQ-L00237972/2020|EPI_ISL_536202|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237972/2020|EPI_ISL_536202|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00239272/2020|EPI_ISL_536242|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00239272/2020|EPI_ISL_536242|2020-03-26,QC
1277,1277,Unsampled
hCoV-19/Canada/ON-OICR-SLB2804/2020|EPI_ISL_538335|2020-03-30,hCoV-19/Canada/ON-OICR-SLB2804/2020|EPI_ISL_538335|2020-03-30,ON
hCoV-19/Canada/QC-LSPQ-L00244094/2020|EPI_ISL_536389|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00244094/2020|EPI_ISL_536389|2020-03-31,QC
hCoV-19/Canada/QC-LSPQ-L00244326/2020|EPI_ISL_536392|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00244326/2020|EPI_ISL_536392|2020-03-31,QC
hCoV-19/Canada/QC_AQ1/2020|EPI_ISL_463927|2020-04-02,hCoV-19/Canada/QC_AQ1/2020|EPI_ISL_463927|2020-04-02,QC
hCoV-19/Canada/QC-LSPQ-L00216920/2020|EPI_ISL_535754|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00216920/2020|EPI_ISL_535754|2020-03-13,QC
hCoV-19/Canada/ON_MU-S5/2020|EPI_ISL_463988|2020-03-13,hCoV-19/Canada/ON_MU-S5/2020|EPI_ISL_463988|2020-03-13,ON
hCoV-19/Canada/QC-LSPQ-L00214517/2020|EPI_ISL_535728|2020-03-11,hCoV-19/Canada/QC-LSPQ-L00214517/2020|EPI_ISL_535728|2020-03-11,QC
hCoV-19/Canada/QC-LSPQ-L00237109/2020|EPI_ISL_536163|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237109/2020|EPI_ISL_536163|2020-03-25,QC
hCoV-19/Canada/LTRI-23/2020|EPI_ISL_495012|2020-03-22,hCoV-19/Canada/LTRI-23/2020|EPI_ISL_495012|2020-03-22,LT
hCoV-19/Canada/QC-LSPQ-L00231296/2020|EPI_ISL_535952|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00231296/2020|EPI_ISL_535952|2020-03-22,QC
1044,1044,Unsampled
hCoV-19/Canada/QC_AR2/2020|EPI_ISL_476512|2020-04-03,hCoV-19/Canada/QC_AR2/2020|EPI_ISL_476512|2020-04-03,QC
1197,1197,Unsampled
hCoV-19/Canada/QC-LSPQ-L00242235/2020|EPI_ISL_536313|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00242235/2020|EPI_ISL_536313|2020-03-29,QC
hCoV-19/Canada/QC-LSPQ-L00242238/2020|EPI_ISL_536314|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00242238/2020|EPI_ISL_536314|2020-03-29,QC
hCoV-19/Canada/QC-LSPQ-L00242662/2020|EPI_ISL_536331|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00242662/2020|EPI_ISL_536331|2020-03-29,QC
hCoV-19/Canada/QC-LSPQ-L00236598/2020|EPI_ISL_536142|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00236598/2020|EPI_ISL_536142|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00218350/2020|EPI_ISL_535778|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00218350/2020|EPI_ISL_535778|2020-03-14,QC
hCoV-19/Canada/MB_36/2020|EPI_ISL_429817|2020-03-14,hCoV-19/Canada/MB_36/2020|EPI_ISL_429817|2020-03-14,MB
hCoV-19/Canada/QC_AN6/2020|EPI_ISL_515220|2020-04-08,hCoV-19/Canada/QC_AN6/2020|EPI_ISL_515220|2020-04-08,QC
hCoV-19/Canada/NB_260/2020|EPI_ISL_481751|2020-04-05,hCoV-19/Canada/NB_260/2020|EPI_ISL_481751|2020-04-05,NB
1033,1033,Unsampled
hCoV-19/Canada/QC-LSPQ-L00242867/2020|EPI_ISL_536337|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00242867/2020|EPI_ISL_536337|2020-03-27,QC
1267,1267,Unsampled
hCoV-19/Canada/QC-LSPQ-L00234627/2020|EPI_ISL_536064|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00234627/2020|EPI_ISL_536064|2020-03-23,QC
hCoV-19/Canada/ON-OICR-SLB2868/2020|EPI_ISL_538385|2020-04-10,hCoV-19/Canada/ON-OICR-SLB2868/2020|EPI_ISL_538385|2020-04-10,ON
1346,1346,Unsampled
hCoV-19/Canada/ON-UHTC_0043/2020|EPI_ISL_464020|2020-04-02,hCoV-19/Canada/ON-UHTC_0043/2020|EPI_ISL_464020|2020-04-02,ON
1159,1159,Unsampled
hCoV-19/Canada/QC-LSPQ-L00230448/2020|EPI_ISL_535918|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230448/2020|EPI_ISL_535918|2020-03-21,QC
hCoV-19/Canada/QC-LSPQ-L00243284/2020|EPI_ISL_536353|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00243284/2020|EPI_ISL_536353|2020-03-29,QC
1476,1476,Unsampled
1388,1388,Unsampled
hCoV-19/Canada/QC-LSPQ-L00225662/2020|EPI_ISL_535834|2020-03-17,hCoV-19/Canada/QC-LSPQ-L00225662/2020|EPI_ISL_535834|2020-03-17,QC
1419,1419,Unsampled
hCoV-19/Canada/NS_13/2020|EPI_ISL_418814|2020-03-13,hCoV-19/Canada/NS_13/2020|EPI_ISL_418814|2020-03-13,NS
hCoV-19/Canada/NS_31/2020|EPI_ISL_429813|2020-03-15,hCoV-19/Canada/NS_31/2020|EPI_ISL_429813|2020-03-15,NS
1430,1430,Unsampled
hCoV-19/Canada/NS_61/2020|EPI_ISL_482477|2020-03-18,hCoV-19/Canada/NS_61/2020|EPI_ISL_482477|2020-03-18,NS
1341,1341,Unsampled
hCoV-19/Canada/QC-LSPQ-L00215586/2020|EPI_ISL_535732|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00215586/2020|EPI_ISL_535732|2020-03-12,QC
hCoV-19/Canada/QC-LSPQ-L00219066/2020|EPI_ISL_535789|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00219066/2020|EPI_ISL_535789|2020-03-14,QC
1007,1007,Unsampled
hCoV-19/Canada/ON-OICR-SLB2855/2020|EPI_ISL_538374|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2855/2020|EPI_ISL_538374|2020-04-07,ON
993,993,Unsampled
hCoV-19/Canada/ON-UHTC_0039/2020|EPI_ISL_464026|2020-04-10,hCoV-19/Canada/ON-UHTC_0039/2020|EPI_ISL_464026|2020-04-10,ON
971,971,Unsampled
hCoV-19/Canada/ON-UHTC_0054/2020|EPI_ISL_464050|2020-04-10,hCoV-19/Canada/ON-UHTC_0054/2020|EPI_ISL_464050|2020-04-10,ON
hCoV-19/Canada/ON-UHTC_0080/2020|EPI_ISL_464040|2020-04-10,hCoV-19/Canada/ON-UHTC_0080/2020|EPI_ISL_464040|2020-04-10,ON
hCoV-19/Canada/ON-UHTC_0082/2020|EPI_ISL_463998|2020-04-15,hCoV-19/Canada/ON-UHTC_0082/2020|EPI_ISL_463998|2020-04-15,ON
hCoV-19/Canada/ON-UHTC_0067/2020|EPI_ISL_463997|2020-04-10,hCoV-19/Canada/ON-UHTC_0067/2020|EPI_ISL_463997|2020-04-10,ON
hCoV-19/Canada/ON-UHTC_0056/2020|EPI_ISL_464059|2020-04-10,hCoV-19/Canada/ON-UHTC_0056/2020|EPI_ISL_464059|2020-04-10,ON
978,978,Unsampled
hCoV-19/Canada/ON_MU-S679/2020|EPI_ISL_463992|2020-04-09,hCoV-19/Canada/ON_MU-S679/2020|EPI_ISL_463992|2020-04-09,ON
991,991,Unsampled
hCoV-19/Canada/ON-OICR-SLB2858/2020|EPI_ISL_538377|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2858/2020|EPI_ISL_538377|2020-04-07,ON
1035,1035,Unsampled
hCoV-19/Canada/ON-UHTC_0062/2020|EPI_ISL_464048|2020-04-01,hCoV-19/Canada/ON-UHTC_0062/2020|EPI_ISL_464048|2020-04-01,ON
hCoV-19/Canada/ON-UHTC_0053/2020|EPI_ISL_464004|2020-04-07,hCoV-19/Canada/ON-UHTC_0053/2020|EPI_ISL_464004|2020-04-07,ON
hCoV-19/Canada/ON-UHTC_0058/2020|EPI_ISL_464024|2020-04-03,hCoV-19/Canada/ON-UHTC_0058/2020|EPI_ISL_464024|2020-04-03,ON
hCoV-19/Canada/ON-UHTC_0065/2020|EPI_ISL_464030|2020-04-22,hCoV-19/Canada/ON-UHTC_0065/2020|EPI_ISL_464030|2020-04-22,ON
hCoV-19/Canada/ON-UHTC_0045/2020|EPI_ISL_464061|2020-04-22,hCoV-19/Canada/ON-UHTC_0045/2020|EPI_ISL_464061|2020-04-22,ON
hCoV-19/Canada/ON-UHTC_0088/2020|EPI_ISL_464054|2020-04-24,hCoV-19/Canada/ON-UHTC_0088/2020|EPI_ISL_464054|2020-04-24,ON
1027,1027,Unsampled
hCoV-19/Canada/ON-UHTC_0055/2020|EPI_ISL_464046|2020-04-02,hCoV-19/Canada/ON-UHTC_0055/2020|EPI_ISL_464046|2020-04-02,ON
hCoV-19/Canada/ON-UHTC_0038/2020|EPI_ISL_464018|2020-04-03,hCoV-19/Canada/ON-UHTC_0038/2020|EPI_ISL_464018|2020-04-03,ON
1026,1026,Unsampled
hCoV-19/Canada/ON_MU-S349/2020|EPI_ISL_463982|2020-03-29,hCoV-19/Canada/ON_MU-S349/2020|EPI_ISL_463982|2020-03-29,ON
hCoV-19/Canada/ON-UHTC_0069/2020|EPI_ISL_464021|2020-04-25,hCoV-19/Canada/ON-UHTC_0069/2020|EPI_ISL_464021|2020-04-25,ON
hCoV-19/Canada/ON-UHTC_0066/2020|EPI_ISL_464038|2020-04-24,hCoV-19/Canada/ON-UHTC_0066/2020|EPI_ISL_464038|2020-04-24,ON
967,967,Unsampled
1020,1020,Unsampled
hCoV-19/Canada/QC-LSPQ-L00238445/2020|EPI_ISL_536208|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00238445/2020|EPI_ISL_536208|2020-03-25,QC
hCoV-19/Canada/ON-UHTC_0151/2020|EPI_ISL_526284|2020-06-09,hCoV-19/Canada/ON-UHTC_0151/2020|EPI_ISL_526284|2020-06-09,ON
1266,1266,Unsampled
hCoV-19/Canada/ON-UHTC_0041/2020|EPI_ISL_464037|2020-04-03,hCoV-19/Canada/ON-UHTC_0041/2020|EPI_ISL_464037|2020-04-03,ON
hCoV-19/Canada/ON_QGLO-011/2020|EPI_ISL_459871|2020-03-26,hCoV-19/Canada/ON_QGLO-011/2020|EPI_ISL_459871|2020-03-26,ON
1344,1344,Unsampled
hCoV-19/Canada/QC-LSPQ-L00230882/2020|EPI_ISL_535937|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230882/2020|EPI_ISL_535937|2020-03-21,QC
1449,1449,Unsampled
hCoV-19/Canada/QC-LSPQ-L00231304/2020|EPI_ISL_535953|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00231304/2020|EPI_ISL_535953|2020-03-20,QC
1092,1092,Unsampled
hCoV-19/Canada/QC-LSPQ-L00232439/2020|EPI_ISL_535986|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00232439/2020|EPI_ISL_535986|2020-03-22,QC
1279,1279,Unsampled
hCoV-19/Canada/QC-LSPQ-L00216421/2020|EPI_ISL_535746|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00216421/2020|EPI_ISL_535746|2020-03-13,QC
hCoV-19/Canada/Qc-L00241158/2020|EPI_ISL_465699|2020-03-27,hCoV-19/Canada/Qc-L00241158/2020|EPI_ISL_465699|2020-03-27,QC
hCoV-19/Canada/QC_AR7/2020|EPI_ISL_515226|2020-04-04,hCoV-19/Canada/QC_AR7/2020|EPI_ISL_515226|2020-04-04,QC
hCoV-19/Canada/QC-LSPQ-L00227476/2020|EPI_ISL_535862|2020-03-18,hCoV-19/Canada/QC-LSPQ-L00227476/2020|EPI_ISL_535862|2020-03-18,QC
1348,1348,Unsampled
hCoV-19/Canada/QC-LSPQ-L00225655/2020|EPI_ISL_535833|2020-03-17,hCoV-19/Canada/QC-LSPQ-L00225655/2020|EPI_ISL_535833|2020-03-17,QC
1460,1460,Unsampled
hCoV-19/Canada/QC-LSPQ-L00231158/2020|EPI_ISL_535946|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00231158/2020|EPI_ISL_535946|2020-03-22,QC
1170,1170,Unsampled
hCoV-19/Canada/QC-LSPQ-L00234853/2020|EPI_ISL_536072|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00234853/2020|EPI_ISL_536072|2020-03-24,QC
1022,1022,Unsampled
hCoV-19/Canada/QC-LSPQ-L00241959/2020|EPI_ISL_536299|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00241959/2020|EPI_ISL_536299|2020-03-28,QC
hCoV-19/Canada/QC-LSPQ-L00241993/2020|EPI_ISL_536301|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00241993/2020|EPI_ISL_536301|2020-03-28,QC
hCoV-19/Canada/QC-LSPQ-L00238675/2020|EPI_ISL_536213|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00238675/2020|EPI_ISL_536213|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00243328/2020|EPI_ISL_536358|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243328/2020|EPI_ISL_536358|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00243313/2020|EPI_ISL_536354|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243313/2020|EPI_ISL_536354|2020-03-30,QC
1114,1114,Unsampled
hCoV-19/Canada/QC-LSPQ-L00243325/2020|EPI_ISL_536357|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243325/2020|EPI_ISL_536357|2020-03-30,QC
1008,1008,Unsampled
hCoV-19/Canada/QC-LSPQ-L00243345/2020|EPI_ISL_536359|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243345/2020|EPI_ISL_536359|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00243460/2020|EPI_ISL_536362|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243460/2020|EPI_ISL_536362|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00243323/2020|EPI_ISL_536356|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243323/2020|EPI_ISL_536356|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00243317/2020|EPI_ISL_536355|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243317/2020|EPI_ISL_536355|2020-03-30,QC
1153,1153,Unsampled
1474,1474,Unsampled
hCoV-19/Canada/QC-LSPQ-L00231860/2020|EPI_ISL_535965|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00231860/2020|EPI_ISL_535965|2020-03-20,QC
hCoV-19/Canada/QC-LSPQ-L00225185/2020|EPI_ISL_535829|2020-03-16,hCoV-19/Canada/QC-LSPQ-L00225185/2020|EPI_ISL_535829|2020-03-16,QC
hCoV-19/Canada/QC-LSPQ-L00242576/2020|EPI_ISL_536328|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00242576/2020|EPI_ISL_536328|2020-03-29,QC
hCoV-19/Canada/QC-LSPQ-L00242684/2020|EPI_ISL_536332|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00242684/2020|EPI_ISL_536332|2020-03-29,QC
1244,1244,Unsampled
hCoV-19/Canada/MB_59/2020|EPI_ISL_482475|2020-03-15,hCoV-19/Canada/MB_59/2020|EPI_ISL_482475|2020-03-15,MB
hCoV-19/Canada/MB_58/2020|EPI_ISL_482474|2020-03-19,hCoV-19/Canada/MB_58/2020|EPI_ISL_482474|2020-03-19,MB
1287,1287,Unsampled
1378,1378,Unsampled
hCoV-19/Canada/Qc-L00241112/2020|EPI_ISL_465697|2020-03-26,hCoV-19/Canada/Qc-L00241112/2020|EPI_ISL_465697|2020-03-26,QC
1417,1417,Unsampled
hCoV-19/Canada/ON-OICR-SLB2806/2020|EPI_ISL_538336|2020-03-31,hCoV-19/Canada/ON-OICR-SLB2806/2020|EPI_ISL_538336|2020-03-31,ON
hCoV-19/Canada/ON-UHTC_0037/2020|EPI_ISL_464028|2020-04-03,hCoV-19/Canada/ON-UHTC_0037/2020|EPI_ISL_464028|2020-04-03,ON
hCoV-19/Canada/QC-LSPQ-L00233496/2020|EPI_ISL_536025|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00233496/2020|EPI_ISL_536025|2020-03-23,QC
1309,1309,Unsampled
hCoV-19/Canada/QC-LSPQ-L00224744/2020|EPI_ISL_535820|2020-03-17,hCoV-19/Canada/QC-LSPQ-L00224744/2020|EPI_ISL_535820|2020-03-17,QC
hCoV-19/Canada/QC-LSPQ-L00224745/2020|EPI_ISL_535821|2020-03-17,hCoV-19/Canada/QC-LSPQ-L00224745/2020|EPI_ISL_535821|2020-03-17,QC
1470,1470,Unsampled
hCoV-19/Canada/ON-OICR-SLB2812/2020|EPI_ISL_538340|2020-04-01,hCoV-19/Canada/ON-OICR-SLB2812/2020|EPI_ISL_538340|2020-04-01,ON
hCoV-19/Canada/QC-LSPQ-L00243118/2020|EPI_ISL_536349|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243118/2020|EPI_ISL_536349|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00234990/2020|EPI_ISL_536082|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00234990/2020|EPI_ISL_536082|2020-03-24,QC
hCoV-19/Canada/QC-LSPQ-L00216197/2020|EPI_ISL_535745|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00216197/2020|EPI_ISL_535745|2020-03-12,QC
1315,1315,Unsampled
hCoV-19/Canada/QC-LSPQ-L00238518/2020|EPI_ISL_536209|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00238518/2020|EPI_ISL_536209|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00238674/2020|EPI_ISL_536212|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00238674/2020|EPI_ISL_536212|2020-03-26,QC
hCoV-19/Canada/QC-LSPQ-L00243245/2020|EPI_ISL_536351|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243245/2020|EPI_ISL_536351|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00218353/2020|EPI_ISL_535779|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00218353/2020|EPI_ISL_535779|2020-03-14,QC
hCoV-19/Canada/ON-OICR-SLB2854/2020|EPI_ISL_538373|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2854/2020|EPI_ISL_538373|2020-04-07,ON
hCoV-19/Canada/ON_MU-S328/2020|EPI_ISL_463981|2020-03-29,hCoV-19/Canada/ON_MU-S328/2020|EPI_ISL_463981|2020-03-29,ON
hCoV-19/Canada/ON-UHTC_0051/2020|EPI_ISL_464063|2020-04-03,hCoV-19/Canada/ON-UHTC_0051/2020|EPI_ISL_464063|2020-04-03,ON
1048,1048,Unsampled
hCoV-19/Canada/QC-LSPQ-L00235430/2020|EPI_ISL_536098|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00235430/2020|EPI_ISL_536098|2020-03-24,QC
hCoV-19/Canada/QC-LSPQ-L00214634/2020|EPI_ISL_535730|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00214634/2020|EPI_ISL_535730|2020-03-12,QC
hCoV-19/Canada/QC-LSPQ-L00216503/2020|EPI_ISL_535750|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00216503/2020|EPI_ISL_535750|2020-03-12,QC
1247,1247,Unsampled
hCoV-19/Canada/NS_30/2020|EPI_ISL_429812|2020-03-14,hCoV-19/Canada/NS_30/2020|EPI_ISL_429812|2020-03-14,NS
hCoV-19/Canada/QC-LSPQ-L00237589/2020|EPI_ISL_536187|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237589/2020|EPI_ISL_536187|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00229326/2020|EPI_ISL_535890|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00229326/2020|EPI_ISL_535890|2020-03-20,QC
1182,1182,Unsampled
1154,1154,Unsampled
hCoV-19/Canada/QC-LSPQ-L00242051/2020|EPI_ISL_536308|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00242051/2020|EPI_ISL_536308|2020-03-28,QC
1029,1029,Unsampled
hCoV-19/Canada/QC-LSPQ-L00242105/2020|EPI_ISL_536309|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00242105/2020|EPI_ISL_536309|2020-03-28,QC
hCoV-19/Canada/QC-LSPQ-L00218337/2020|EPI_ISL_535777|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00218337/2020|EPI_ISL_535777|2020-03-14,QC
1396,1396,Unsampled
hCoV-19/Canada/QC-LSPQ-L00219089/2020|EPI_ISL_535790|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00219089/2020|EPI_ISL_535790|2020-03-14,QC
